Time[s], SDA, SCL
0, 1, 0
0.0017725, 1, 1
0.001799, 1, 0
0.001881, 1, 1
0.0018825, 0, 1
0.001908, 0, 0
0.002017, 0, 1
0.0020175, 1, 1
0.0020425, 1, 0
0.0021245, 1, 1
0.002127, 0, 1
0.002152, 0, 0
0.002261, 0, 1
0.0022875, 0, 0
0.0023965, 0, 1
0.0023975, 1, 1
0.002422, 1, 0
0.002504, 1, 1
0.0025305, 1, 0
0.0026125, 1, 1
0.002639, 1, 0
0.002721, 1, 1
0.0027475, 1, 0
0.0028295, 1, 1
0.002832, 0, 1
0.002857, 0, 0
0.002966, 0, 1
0.0029925, 0, 0
0.0031015, 0, 1
0.0031025, 1, 1
0.003127, 1, 0
0.003209, 1, 1
0.0032355, 1, 0
0.0033175, 1, 1
0.003318, 0, 1
0.0033445, 0, 0
0.003454, 0, 1
0.00348, 0, 0
0.0035895, 0, 1
0.0036155, 0, 0
0.003725, 0, 1
0.003751, 0, 0
0.0038605, 0, 1
0.0038865, 0, 0
0.003996, 0, 1
0.004022, 0, 0
0.0041315, 0, 1
0.0041575, 0, 0
0.004267, 0, 1
0.0042935, 0, 0
0.0048645, 1, 0
0.011748, 1, 1
0.011774, 1, 0
0.011856, 1, 1
0.011858, 0, 1
0.0118835, 0, 0
0.0119925, 0, 1
0.011993, 1, 1
0.012018, 1, 0
0.0121, 1, 1
0.0121025, 0, 1
0.0121275, 0, 0
0.0122365, 0, 1
0.012263, 0, 0
0.012372, 0, 1
0.012373, 1, 1
0.012398, 1, 0
0.01248, 1, 1
0.012506, 1, 0
0.012588, 1, 1
0.0126145, 1, 0
0.0126965, 1, 1
0.012723, 1, 0
0.012805, 1, 1
0.012808, 0, 1
0.0128325, 0, 0
0.0129415, 0, 1
0.012968, 0, 0
0.013077, 0, 1
0.013078, 1, 1
0.0131025, 1, 0
0.0131845, 1, 1
0.013211, 1, 0
0.013293, 1, 1
0.013294, 0, 1
0.01332, 0, 0
0.0134295, 0, 1
0.0134555, 0, 0
0.013565, 0, 1
0.013591, 0, 0
0.0137005, 0, 1
0.0137265, 0, 0
0.013836, 0, 1
0.0138625, 0, 0
0.0139715, 0, 1
0.013998, 0, 0
0.014107, 0, 1
0.0141335, 0, 0
0.0142425, 0, 1
0.014269, 0, 0
0.0147535, 1, 0
0.0182545, 1, 1
0.018281, 1, 0
0.018363, 1, 1
0.0183665, 0, 1
0.0183905, 0, 0
0.0184995, 0, 1
0.018502, 1, 1
0.018525, 1, 0
0.018607, 1, 1
0.018608, 0, 1
0.018634, 0, 0
0.0187435, 0, 1
0.01877, 0, 0
0.018879, 0, 1
0.0188815, 1, 1
0.0189045, 1, 0
0.0189865, 1, 1
0.019013, 1, 0
0.019095, 1, 1
0.0191215, 1, 0
0.0192035, 1, 1
0.01923, 1, 0
0.019312, 1, 1
0.019313, 0, 1
0.019339, 0, 0
0.019448, 0, 1
0.0194745, 0, 0
0.019584, 0, 1
0.0195865, 1, 1
0.0196095, 1, 0
0.0196915, 1, 1
0.019718, 1, 0
0.0198, 1, 1
0.0198025, 0, 1
0.019827, 0, 0
0.0199365, 0, 1
0.0199625, 0, 0
0.020072, 0, 1
0.020098, 0, 0
0.0202075, 0, 1
0.020234, 0, 0
0.020343, 0, 1
0.0203695, 0, 0
0.0204785, 0, 1
0.020505, 0, 0
0.020614, 0, 1
0.0206405, 0, 0
0.0207495, 0, 1
0.020776, 0, 0
0.021346, 1, 0
0.0247605, 1, 1
0.024787, 1, 0
0.024869, 1, 1
0.0248705, 0, 1
0.024896, 0, 0
0.0250055, 0, 1
0.025006, 1, 1
0.025031, 1, 0
0.025113, 1, 1
0.0251155, 0, 1
0.02514, 0, 0
0.0252495, 0, 1
0.025276, 0, 0
0.025385, 0, 1
0.025386, 1, 1
0.0254105, 1, 0
0.0254925, 1, 1
0.025519, 1, 0
0.025601, 1, 1
0.0256275, 1, 0
0.0257095, 1, 1
0.0257355, 1, 0
0.0258175, 1, 1
0.025821, 0, 1
0.025845, 0, 0
0.025954, 0, 1
0.0259805, 0, 0
0.0260895, 0, 1
0.026091, 1, 1
0.026115, 1, 0
0.026197, 1, 1
0.0262235, 1, 0
0.0263055, 1, 1
0.026307, 0, 1
0.026333, 0, 0
0.026442, 0, 1
0.0264685, 0, 0
0.0265775, 0, 1
0.026604, 0, 0
0.026713, 0, 1
0.0267395, 0, 0
0.0268485, 0, 1
0.026875, 0, 0
0.026984, 0, 1
0.0270105, 0, 0
0.0271195, 0, 1
0.027146, 0, 0
0.027255, 0, 1
0.0272815, 0, 0
0.027529, 1, 0
0.031266, 1, 1
0.0312925, 1, 0
0.0313745, 1, 1
0.0313765, 0, 1
0.031402, 0, 0
0.031511, 0, 1
0.0315115, 1, 1
0.0315365, 1, 0
0.0316185, 1, 1
0.031621, 0, 1
0.031646, 0, 0
0.031755, 0, 1
0.0317815, 0, 0
0.0318905, 0, 1
0.0318915, 1, 1
0.031916, 1, 0
0.031998, 1, 1
0.0320245, 1, 0
0.0321065, 1, 1
0.032133, 1, 0
0.032215, 1, 1
0.0322415, 1, 0
0.0323235, 1, 1
0.0323265, 0, 1
0.0323505, 0, 0
0.03246, 0, 1
0.0324865, 0, 0
0.0325955, 0, 1
0.032597, 1, 1
0.032621, 1, 0
0.032703, 1, 1
0.0327295, 1, 0
0.0328115, 1, 1
0.032813, 0, 1
0.0328385, 0, 0
0.0329475, 0, 1
0.032974, 0, 0
0.0330835, 0, 1
0.0331095, 0, 0
0.033219, 0, 1
0.0332455, 0, 0
0.0333545, 0, 1
0.033381, 0, 0
0.03349, 0, 1
0.0335165, 0, 0
