Time[s], SCL, SDA
0, 0, 0
8.2625e-05, 1, 0
8.3125e-05, 1, 1
0.000108125, 0, 1
0.000190125, 1, 1
0.0001915, 1, 0
0.000217375, 0, 0
0.0003265, 1, 0
0.000352875, 0, 0
0.000462125, 1, 0
0.0004885, 0, 0
0.000597625, 1, 0
0.000624, 0, 0
0.000733125, 1, 0
0.0007595, 0, 0
0.000868625, 1, 0
0.000895, 0, 0
0.004989375, 1, 0
0.00501575, 0, 0
0.005124875, 1, 0
0.00515125, 0, 0
0.005260375, 1, 0
0.00528675, 0, 0
0.005395875, 1, 0
0.005397375, 1, 1
0.005421375, 0, 1
0.005503375, 1, 1
0.00552975, 0, 1
0.005611875, 1, 1
0.005614125, 1, 0
0.005639125, 0, 0
0.00574825, 1, 0
0.005774625, 0, 0
0.00588375, 1, 0
0.00591025, 0, 0
0.006019375, 1, 0
0.006022, 1, 1
0.006044875, 0, 1
0.006126875, 1, 1
0.00613025, 1, 0
0.006154125, 0, 0
0.00626325, 1, 0
0.006289625, 0, 0
0.00639875, 1, 0
0.006425125, 0, 0
0.00653425, 1, 0
0.00656075, 0, 0
0.006669875, 1, 0
0.00669625, 0, 0
0.006805375, 1, 0
0.00680575, 1, 1
0.006831, 0, 1
0.006913, 1, 1
0.006914, 1, 0
0.006940125, 0, 0
0.007049375, 1, 0
0.00707575, 0, 0
0.007184875, 1, 0
0.00721125, 0, 0
0.007320375, 1, 0
0.00734675, 0, 0
0.007456, 1, 0
0.007482375, 0, 0
0.0075915, 1, 0
0.007617875, 0, 0
0.011712625, 1, 0
0.011739, 0, 0
0.011848125, 1, 0
0.0118745, 0, 0
0.011983625, 1, 0
0.012010125, 0, 0
0.01211925, 1, 0
0.01211975, 1, 1
0.01214475, 0, 1
0.01222675, 1, 1
0.012253125, 0, 1
0.01233525, 1, 1
0.012336375, 1, 0
0.012362375, 0, 0
0.012471625, 1, 0
0.012498, 0, 0
0.012607125, 1, 0
0.0126335, 0, 0
0.012742625, 1, 0
0.012744, 1, 1
0.012768125, 0, 1
0.01285025, 1, 1
0.01285225, 1, 0
0.0128775, 0, 0
0.012986625, 1, 0
0.013013, 0, 0
0.013122125, 1, 0
0.013148625, 0, 0
0.01325775, 1, 0
0.013284125, 0, 0
0.01339325, 1, 0
0.013419625, 0, 0
0.01352875, 1, 0
0.013530875, 1, 1
0.01355425, 0, 1
0.01363625, 1, 1
0.013639125, 1, 0
0.0136635, 0, 0
0.013772625, 1, 0
0.013799, 0, 0
0.013908125, 1, 0
0.013934625, 0, 0
0.01404375, 1, 0
0.014070125, 0, 0
0.014179375, 1, 0
0.01420575, 0, 0
0.014314875, 1, 0
0.01434125, 0, 0
0.01843675, 1, 0
0.018463125, 0, 0
0.01857225, 1, 0
0.018598625, 0, 0
0.01870775, 1, 0
0.018734125, 0, 0
0.018843375, 1, 0
0.018844125, 1, 1
0.018868875, 0, 1
0.018950875, 1, 1
0.01897725, 0, 1
0.01905925, 1, 1
0.01906075, 1, 0
0.0190865, 0, 0
0.019195625, 1, 0
