Time[s], SCL, SDA
0, 0, 0
5.625e-06, 1, 0
3.2e-05, 0, 0
0.000141125, 1, 0
0.000142875, 1, 1
0.0001665, 0, 1
0.000248625, 1, 1
0.000275, 0, 1
0.000357, 1, 1
0.000360125, 1, 0
0.00038425, 0, 0
0.000493375, 1, 0
0.00051975, 0, 0
0.000628875, 1, 0
0.00065525, 0, 0
0.000764375, 1, 0
0.000766, 1, 1
0.000789875, 0, 1
0.000871875, 1, 1
0.000874625, 1, 0
0.000899125, 0, 0
0.00100825, 1, 0
0.001034625, 0, 0
0.00114375, 1, 0
0.00117025, 0, 0
0.001279375, 1, 0
0.00130575, 0, 0
0.001414875, 1, 0
0.00144125, 0, 0
0.001550375, 1, 0
0.001552125, 1, 1
0.001575875, 0, 1
0.001657875, 1, 1
0.001660625, 1, 0
0.001685125, 0, 0
0.00179425, 1, 0
0.001820625, 0, 0
0.00192975, 1, 0
0.001956125, 0, 0
0.00206525, 1, 0
0.00209175, 0, 0
0.002200875, 1, 0
0.00222725, 0, 0
0.002336375, 1, 0
0.00236275, 0, 0
0.006458125, 1, 0
0.006484625, 0, 0
0.00659375, 1, 0
0.006620125, 0, 0
0.006729375, 1, 0
0.00675575, 0, 0
0.006864875, 1, 0
0.00686575, 1, 1
0.0068905, 0, 1
0.0069725, 1, 1
0.006998875, 0, 1
0.007081, 1, 1
0.007083, 1, 0
0.00710825, 0, 0
0.007217375, 1, 0
0.00724375, 0, 0
0.007352875, 1, 0
0.007379375, 0, 0
0.0074885, 1, 0
0.007491875, 1, 1
0.007514, 0, 1
0.007596125, 1, 1
0.00759725, 1, 0
0.00762325, 0, 0
0.0077325, 1, 0
0.007758875, 0, 0
0.007868, 1, 0
0.007894375, 0, 0
0.008003625, 1, 0
0.00803, 0, 0
0.008139125, 1, 0
0.0081655, 0, 0
0.008274625, 1, 0
0.008277875, 1, 1
0.00830025, 0, 1
0.00838225, 1, 1
0.00838325, 1, 0
0.0084095, 0, 0
0.008518625, 1, 0
0.008545, 0, 0
0.00865425, 1, 0
0.008680625, 0, 0
0.00878975, 1, 0
0.00881625, 0, 0
0.008925375, 1, 0
0.00895175, 0, 0
0.009061, 1, 0
0.009087375, 0, 0
0.013183875, 1, 0
0.013210375, 0, 0
0.0133195, 1, 0
0.013346, 0, 0
0.013455125, 1, 0
0.013481625, 0, 0
0.01359075, 1, 0
0.013591375, 1, 1
0.013616375, 0, 1
0.013698375, 1, 1
0.01372475, 0, 1
0.013806875, 1, 1
0.01380875, 1, 0
0.013834125, 0, 0
0.013943375, 1, 0
0.01396975, 0, 0
0.014079, 1, 0
0.014105375, 0, 0
0.0142145, 1, 0
0.0142175, 1, 1
0.014240125, 0, 1
0.014322125, 1, 1
0.014322875, 1, 0
0.014349375, 0, 0
0.014458625, 1, 0
0.014485, 0, 0
0.01459425, 1, 0
0.014620625, 0, 0
0.014729875, 1, 0
0.01475625, 0, 0
0.014865375, 1, 0
0.014891875, 0, 0
0.015001, 1, 0
0.01500325, 1, 1
0.0150265, 0, 1
0.0151085, 1, 1
0.015111875, 1, 0
0.01513575, 0, 0
0.015245, 1, 0
0.015271375, 0, 0
0.0153805, 1, 0
0.015406875, 0, 0
0.015516, 1, 0
0.0155425, 0, 0
0.015651625, 1, 0
0.015678, 0, 0
0.015787125, 1, 0
0.0158135, 0, 0
0.01990825, 1, 0
0.019934625, 0, 0
0.02004375, 1, 0
0.020070125, 0, 0
0.02017925, 1, 0
0.020205625, 0, 0
0.020314875, 1, 0
0.020317125, 1, 1
0.02034025, 0, 1
0.020422375, 1, 1
0.02044875, 0, 1
0.02053075, 1, 1
0.020531125, 1, 0
0.020558, 0, 0
0.020667125, 1, 0
0.020693625, 0, 0
0.02080275, 1, 0
