Time[s], SCL, SDA
0, 0, 1
0.0070545, 1, 1
0.007080875, 0, 1
0.007162875, 1, 1
0.007165375, 1, 0
0.00719025, 0, 0
0.00729925, 1, 0
0.007325625, 0, 0
0.00743475, 1, 0
0.00743825, 1, 1
0.00746025, 0, 1
0.00754225, 1, 1
0.007568625, 0, 1
0.007650625, 1, 1
0.007653375, 1, 0
0.007677875, 0, 0
0.007786875, 1, 0
0.00781325, 0, 0
0.007922375, 1, 0
0.00794875, 0, 0
0.00805775, 1, 0
0.00806125, 1, 1
0.008083375, 0, 1
0.00816525, 1, 1
0.008191625, 0, 1
0.008273625, 1, 1
0.0083, 0, 1
0.008382, 1, 1
0.008408375, 0, 1
0.008490375, 1, 1
0.00851675, 0, 1
0.00859875, 1, 1
0.008625125, 0, 1
0.008707125, 1, 1
0.00871, 1, 0
0.00873425, 0, 0
0.008843375, 1, 0
0.00886975, 0, 0
0.008978875, 1, 0
0.00900525, 0, 0
0.009114375, 1, 0
0.00914075, 0, 0
0.00924975, 1, 0
0.009276125, 0, 0
0.00938525, 1, 0
0.009411625, 0, 0
0.00952075, 1, 0
0.009547125, 0, 0
0.010082625, 0, 1
0.013558125, 1, 1
0.013584375, 0, 1
0.0136665, 1, 1
0.01366875, 1, 0
0.01369375, 0, 0
0.013802875, 1, 0
0.01382925, 0, 0
0.013938375, 1, 0
0.01394175, 1, 1
0.013963875, 0, 1
0.014045875, 1, 1
0.01407225, 0, 1
0.01415425, 1, 1
0.014156875, 1, 0
0.014181625, 0, 0
0.014290875, 1, 0
0.01431725, 0, 0
0.014426375, 1, 0
0.01445275, 0, 0
0.014561875, 1, 0
0.01456475, 1, 1
0.014587375, 0, 1
0.014669375, 1, 1
0.01469575, 0, 1
0.01477775, 1, 1
0.014804125, 0, 1
0.014886125, 1, 1
0.014912625, 0, 1
0.014994625, 1, 1
0.015021, 0, 1
0.015103, 1, 1
0.015129375, 0, 1
0.015211375, 1, 1
0.01521325, 1, 0
0.015238625, 0, 0
0.01534775, 1, 0
0.015374125, 0, 0
0.01548325, 1, 0
